"Numer zezwolenia","Nazwa firmy","Kod pocztowy",Miejscowość,Adres,Województwo,"Data ważności"
114/23,"CBMAX SPIRITS  Spółka z ograniczoną odpowiedzialnością  ",84-104,"Jastrzębia Góra, Władysławowo","ul. Zygmunta III 11 ","WOJ. POMORSKIE",2024-05-18
115/23,"WIN-CIN   Spółka z ograniczoną odpowiedzialnością",10-449,Olsztyn,"ul. Piłsudskiego   64 E ","WOJ. WARMIŃSKO-MAZURSKIE",2024-05-10
116/23,"MALT INVEST  Spółka z ograniczoną odpowiedzialnością",77-310,Debrzno,"ul. Młynarska 9","WOJ. POMORSKIE",2024-04-17
117/23,"ANTRES BIS Spółka z ograniczoną odpowiedzialnością",05-077,"Wesoła, Zakręt","ul. Długa 4","WOJ. MAZOWIECKIE",2024-05-01
118/23,"Gram Sadeccy Spółka Jawna",09-402,Płock,"ul. Górna 32","WOJ. MAZOWIECKIE",2024-05-06
119/23,"Waldemar Sekuła  P.H.U. ""Sekwim Bis""",64-000,Kościan,"ul. Chłapowskiego  14 ","WOJ. WIELKOPOLSKIE",2024-05-15
120/23,"WEALTH SOLUTIONS  Spólka Akcyjna",00-032,Warszawa,"ul. Przeskok 2","WOJ. MAZOWIECKIE",2024-05-09
121/23,"""ROAN SHIP CHANDLER""   Spółka z ograniczoną odpowiedzialnością",81-061,Gdynia,"ul. Hutnicza 61","WOJ. POMORSKIE",2024-05-04
122/23,"Kompania Dystrybucyjna TEDI Spółka z ograniczoną odpowiedzialnością Spólka komandytowo-akcyjna",18-212,"Nowe Piekuty","ul. Główna 23","WOJ. PODLASKIE",2024-04-30
123/23,"Artur Grabiec Grupa Grabiec",32-660,Chełmek,"Aleja Parkowa 14","WOJ. MAŁOPOLSKIE",2024-04-20
124/23,"TRANSGOURMET POLSKA   Spółka z ograniczoną odpowiedzialnością",61-131,Poznań,"ul. Zamenhofa 133 ","WOJ. WIELKOPOLSKIE",2024-05-29
125/23,"BEVWORKS Spółka z ograniczoną odpowiedzialnością",02-757,Warszawa,"ul. Ukryty Raj 4/2","WOJ. MAZOWIECKIE",2024-04-30
126/23,"ALKOSFERA Spółka  z ograniczoną odpowiedzialnością",65-410,"Zielona Góra","ul. Fabryczna 17A/1","WOJ. LUBUSKIE",2024-05-17
127/23,"Anita Barbara Bafia  Firma Handlowo-Usługowa   ""U BAFII""",34-520,Poronin,"ul. Tatrzańska 90 ","WOJ. MAŁOPOLSKIE",2024-05-15
128/23,"Zakład Produkcji Spożywczej  Stefan Skwierawski",89-632,Brusy,"ul. Szkolna 28 ","WOJ. POMORSKIE",2024-05-14
129/23,"Global Spirits Beverages Spółka z ograniczoną odpowiedzialnością",02-972,Warszawa,"ul. Adama Branickiego 15","WOJ. MAZOWIECKIE",2024-06-30
130/23,"FOOD & WINE Spółka z ograniczoną odpowiedzialnością",32-085,Modlniczka,"ul. Komandosów 1/3","WOJ. MAŁOPOLSKIE",2024-05-10
131/23,"JMP SPIRITS Spółka z ograniczoną odpowiedzialnością",80-290,Gdańsk,"ul. Władysława Reymonta 16","WOJ. POMORSKIE",2024-05-04
132/23,"Destylarnia Sedina Spółka z ograniczoną odpowiedzialnością",72-010,Police,"ul. Tanowska 18/5A","WOJ. ZACHODNIOPOMORSKIE",2024-06-02
133/23,"JOT-Ł   Spółka z ograniczoną odpowiedzialnością",51-129,Wrocław,"ul. Żmigrodzka 249 ","WOJ. DOLNOŚLĄSKIE",2024-05-20
134/23,"Monolith Service Spółka z ograniczoną odpowiedzialnością","01-162 ",Warszawa,"ul. Św. Stanisława 1/268","WOJ. MAZOWIECKIE",2024-04-27
135/23,"BZOMEX Spółka z ograniczoną odpowiedzialnością Spółka komandytowa",32-432,PCIM,"Pcim 1","WOJ. MAŁOPOLSKIE",2024-06-14
136/23,"CRSEU Spólka z ograniczoną odpowiedzialnością",59-400,Jawor,"ul. Tadeusza Kościuszki 13D","WOJ. DOLNOŚLĄSKIE",2024-04-30
137/23,"Firma Handlowo-Usługowa   ""MIDAS""  Piotr Bobrzyk",05-300,"Mińsk Mazowiecki","ul. Franciszka Żwirki 12 A ","WOJ. MAZOWIECKIE",2024-04-30
138/23,"PR COMPANY Spółka z ograniczoną odpowiedzialnością",30-717,Kraków,"ul. Koszykarska 27B/22","WOJ. MAŁOPOLSKIE",2024-04-30
139/23,"Browary Regionalne Jakubiak Spółka z ograniczoną odpowiedzialnością",05-092,"Dziekanów Nowy","ul. Kolejowa 400","WOJ. MAZOWIECKIE",2024-05-15
140/23,"Destylernia Kamień Spółka z ograniczoną odpowiedzialnością",24-335,Łaziska,"Kamień 143","WOJ. LUBELSKIE",2024-05-31
141/23,"Wojciech Kieraś Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe ""MARKUS""",98-100,Łask,"ul. Objazdowa 1B","WOJ. ŁÓDZKIE",2024-05-09
142/23,"MARANI 1915  Spółka z ograniczoną odpowiedzialnością",02-796,Warszawa,"ul. Wąwozowa nr 23, lok. U1 ","WOJ. MAZOWIECKIE",2024-05-14
143/23,"""Tenczynek Dystrybucja"" Spółka Akcyjna",20-113,Lublin,"ul. Archidiakońska 9","WOJ. LUBELSKIE",2024-05-09
144/23,"Mazurskie Miody  Bogdan Piasecki",11-034,Tomaszkowo,"ul. Pszczela 10","WOJ. WARMIŃSKO-MAZURSKIE",2024-06-02
145/23,"""BIG"" Spółka z ograniczoną odpowiedzialnością",82-300,Elbląg,"ul. Żuławska 15/C","WOJ. WARMIŃSKO-MAZURSKIE",2024-05-31
146/23,"BJC DISTRIBUTION  Spółka z ograniczoną odpowiedzialnością",02-869,Warszawa,"ul. Buszycka 5 ","WOJ. MAZOWIECKIE",2024-05-28
147/23,"Firma Handlowo-Usługowa   ""PATRO-MAG""   Spółka Cywilna  Aneta Racka-Dasiewicz, Arkadiusz Dasiewicz",09-460,"Mała Wieś","ul. Płońska 9F","WOJ. MAZOWIECKIE",2024-06-30
148/23,"Andrzej Kostyk  Przedsiębiorstwo Przemysłu Spirytusowego  ""Wódki Raciborskie""",47-400,Racibórz,"ul. Opawska 8 lok. 1 ","WOJ. ŚLĄSKIE",2024-05-31
149/23,"Black Watch Spirits Polska Społka z ograniczoną odpowiedzialnością",01-066,Warszawa,"ul. Klopot 4/58","WOJ. MAZOWIECKIE",2024-05-21
150/23,"""CARREFOUR POLSKA""  Spółka z ograniczoną odpowiedzialnością",03-734,Warszawa,"ul. Targowa 72 ","WOJ. MAZOWIECKIE",2024-07-09
151/23,"Przedsiębiorstwo Produkcyjno Handlowo Usługowe   ""SPECJAŁ""   Spółka z ograniczoną odpowiedzialnością",00-175,Warszawa,"Aleja Jana Pawła II 80 lok. 5 ","WOJ. MAZOWIECKIE",2024-06-23
152/23,"NO.1 BEVERAGES POLAND  Spółka z ograniczoną odpowiedzialnością",80-299,Gdańsk,"ul. Astronomów 14 ","WOJ. POMORSKIE",2024-06-27
153/23,"Przedsiębiorstwo Voyal Wojciechowski Jacek",58-508,Siedlęcin,"ul. Ogrodowa 27B","WOJ. DOLNOŚLĄSKIE",2024-05-31
154/23,"Hurtownia Owoców i Warzyw ""KOKOS""  Wiesław Razuwajew",06-100,Pułtusk,"ul. Mickiewicza  41/43 ","WOJ. MAZOWIECKIE",2024-06-10
155/23,"VAN PUR Spółka Akcyjna",37-111,Rakszawa,"Rakszawa 334","WOJ. PODKARPACKIE",2024-07-16
156/23,"""POLTREP""  Spółka Cywilna  Andrzej Wadowski, Barbara Wadowska, Mieczysław Wadowski",30-698,Kraków,"ul. Syreńskiego 19 A ","WOJ. MAŁOPOLSKIE",2024-06-30
157/23,"In-Out Bartłomiej Szajer",32-086,Węgrzce,"ul. Forteczna 1 A/109","WOJ. MAŁOPOLSKIE",2024-05-31
158/23,"Włodek Dawid - ""PH Włodek""",58-211,Uciechów,"ul. Piastowska 29","WOJ. DOLNOŚLĄSKIE",2024-05-20
159/23,"Eurofoods Gastro Spółka z ograniczoną odpowiedzialnością",05-850,"Ożarów Mazowiecki, Konotopa","ul. Rajdowa 11","WOJ. MAZOWIECKIE",2024-06-07
160/23,"WESTTRADE ALKOHOLE Spółka z ograniczoną odpowiedzialnością",83-207,Kokoszkowy,"ul. Lipowa 14","WOJ. POMORSKIE",2024-05-31
161/23,"HAVI LOGISTICS   Spółka z ograniczoną odpowiedzialnością",03-230,Warszawa,"ul. Daniszewska 25 ","WOJ. MAZOWIECKIE",2024-07-13
162/23,"BBSPIRITS Spółka z ograniczoną odpowiedzialnością",64-920,Piła,"ul. Krzywa 35","WOJ. WIELKOPOLSKIE",2024-06-20
163/23,"SPS HANDEL Spółka z ograniczoną odpowiedzialnością",02-390,Warszawa,"ul. Grójecka 194  lok. 91 ","WOJ. MAZOWIECKIE",2024-08-31
164/23,"VDV Spółka z ograniczoną odpowiedzialnością",04-853,Warszawa,"ul. Zagajnikowa 10","WOJ. MAZOWIECKIE",2024-06-14
165/23,"EUROSTOCK Spółka z  ograniczoną odpowiedzialnością",15-102,Białystok,"ul. Bitwy Białostockiej 5","WOJ. PODLASKIE",2024-06-19
166/23,"MORDO CORP Spółka z ograniczoną odpowiedzialnością",32-070,Czernichów,"ul. Wiślana 23","WOJ. MAŁOPOLSKIE",2024-06-19
167/23,"""ALEMBIK POLSKA""  Spółka Akcyjna",20-113,Lublin,"ul. Archidiakońska 9","WOJ. LUBELSKIE",2024-05-31
168/23,"BUH DISTILLERY  Spółka z ograniczoną odpowiedzialnością",20-113,Lublin,"ul. Archidiakońska 9","WOJ. LUBELSKIE",2024-05-31
169/23,"VIP  INVESTMENTS Spółka z ograniczoną odpowiedzialnością",80-299,Gdańsk,"ul. Koziorożca 33/6","WOJ. POMORSKIE",2024-06-12
170/23,"""EUROCASH"" SPÓŁKA  AKCYJNA",62-052,Komorniki,"ul. Wiśniowa 11 ","WOJ. WIELKOPOLSKIE",2024-06-14
171/23,"MS Krzysztof Miszczak Beata Miszczak Piotr Skotnicki Spółka Cywilna",55-200,Oława,"ul. Opolska 7","WOJ. DOLNOŚLĄSKIE",2024-06-11
172/23,"Oktan Energy - Wina  Spółka z ograniczoną odpowiedzialnością",70-606,Szczecin,"ul. Hryniewieckiego 1","WOJ. ZACHODNIOPOMORSKIE",2024-06-04
173/23,"Piotr Piskorski  Przedsiębiorstwo Produkcyjno-Usługowo-Handlowe",21-200,Parczew,"ul. Kolejowa 207 ","WOJ. LUBELSKIE",2024-06-30
174/23,"GRUPA  RADLER  Spółka z ograniczoną odpowiedzialnością",34-300,Żywiec,"ul. Jodłowa 73 ","WOJ. ŚLĄSKIE",2024-06-06
175/23,"AMBRA BRANDS Spólka z ograniczoną odpowiedzialnością",02-819,Warszawa,"ul. Puławska 336","WOJ. MAZOWIECKIE",2024-06-30
176/23,"UDH - UNITED DISTRIBUTION HOLDING  Spółłka z ograniczoną odpowiedzialnością Spółka komandytowo-akcyjna",60-267,Poznań,"ul. Józefa Rogalińskiego 13","WOJ. WIELKOPOLSKIE",2024-06-30
177/23,"Florencja Dystrybucja Spółka z ograniczoną odpowiedzialnoscią",20-306,Lublin,"ul. Firlejowska 2/1","WOJ. LUBELSKIE",2024-06-07
178/23,"CRIMSTON Spółka z ograniczoną odpowiedzialnością",02-017,Warszawa,"Aleje Jerozolimskie 123A","WOJ. MAZOWIECKIE",2024-07-20
179/23,"F.H. ""FUERTE"" Ewa Żak",32-700,Proszówki,"Proszówki 36","WOJ. MAŁOPOLSKIE",2024-06-13
180/23,"ALKOHOLE ŚWIATA  Spółka z ograniczoną odpowiedzialnością",11-600,Węgorzewo,"ul. Przemysłowa 7 a ","WOJ. WARMIŃSKO-MAZURSKIE",2024-06-17
181/23,"SCM   Spółka z ograniczoną odpowiedzialnością",00-828,Warszawa,"Al.  Jana Pawła II nr 11 ","WOJ. MAZOWIECKIE",2024-06-28
182/23,"""FOCZKA"" Tomasz Gąsiorek",32-020,Bodzanów,"Bodzanów 501","WOJ. MAŁOPOLSKIE",2024-06-30
183/23,"SPAR Spółka z ograniczoną odpowiedzialnością",60-476,Poznań,"ul. Druskienicka 12","WOJ. WIELKOPOLSKIE",2024-07-14
184/23,"""RADEX""  Spółka z ograniczoną odpowiedzialnością",42-133,"Węglowice, Puszczew","Puszczew 75","WOJ. ŚLĄSKIE",2024-06-30
