"Numer zezwolenia","Nazwa firmy","Kod pocztowy",Miejscowość,Adres,Województwo,"Data ważności"
218/22,"Browar Wrzos Dominik Dembiński",43-450,Ustroń,"ul. dr Michała Grażyńskiego 23","WOJ. ŚLĄSKIE",2023-09-30
223/22,"""STOCK POLSKA""   Spółka z ograniczoną odpowiedzialnością",20-402,Lublin,"ul. Spółdzielcza 6","WOJ. LUBELSKIE",2023-09-30
224/22,"AN.KA WINES   Spółka z ograniczoną odpowiedzialnością",05-082,"Stare Babice, Blizne Łaszczyńskiego","ul. Batalionów Chłopskich 114","WOJ. MAZOWIECKIE",2023-09-15
226/22,"Breslauer Spirits Spółka z ograniczoną odpowiedzialnością",53-234,Wrocław,"ul. Grabiszyńska 235","WOJ. DOLNOŚLĄSKIE",2023-09-05
228/22,"""GRUPA CHORTEN""  Spółka z ograniczoną odpowiedzialnością",16-070,"Choroszcz, Łyski","ul. Usługowa 2","WOJ. PODLASKIE",2023-09-30
229/22,"EUROCASH SERWIS  Spółka z ograniczoną odpowiedzialnością",62-052,Komorniki,"ul. Wiśniowa 11","WOJ. WIELKOPOLSKIE",2023-09-30
231/22,"Monika Atamańczuk ""Mały Kogut""",70-477,Szczecin,"Al. Wojska Polskiego 56/56","WOJ. ZACHODNIOPOMORSKIE",2023-10-01
232/22,"HETMAN UA Spółka z ograniczoną odpowiedzialnością",35-105,Rzeszów,"ul. Przemysłowa 6","WOJ. PODKARPACKIE",2023-09-01
233/22,"SIGMA-HURT Spółka  z ograniczoną odpowiedzialnością",80-299,Gdańsk,"ul. Wodnika 50","WOJ. POMORSKIE",2023-09-30
235/22,"AZERSMAK Spółka z ograniczoną odpowiedzialnością",00-666,Warszawa,"ul. Stanisława Noakowskiego 16/LU1","WOJ. MAZOWIECKIE",2023-09-30
236/22,"""ROZTOCZE""  Mieczysław, Marek i Tomasz Szaluś   Spółka Jawna  Hurtownia Piwa, Wina i Napojów Chłodzących",22-600,"Tomaszów Lubelski","ul. Lwowska   126 H ","WOJ. LUBELSKIE",2023-09-09
237/22,"""SPOŁEM"" Powszechna Spółdzielnia Spożywców ""ZGODA"" w Płocku",09-402,Płock,"ul. Sienkiewicza 32","WOJ. MAZOWIECKIE",2023-09-17
238/22,"LIDER-POLKA Spółka z ograniczoną odpowiedzialnością",32-020,Wieliczka,"Sygneczów 1/1","WOJ. MAŁOPOLSKIE",2023-09-19
239/22,"""STAMPOL-TRADE STANKIEWICZ""  Spółka Komandytowa",24-300,"Opole Lubelskie","ul. Przemysłowa 42","WOJ. LUBELSKIE",2023-09-30
240/22,"Dariusz Gustab Agencja Reklamy i Promocji Everest",58-303,Wałbrzych,"ul. Niepodległości 114","WOJ. DOLNOŚLĄSKIE",2023-09-09
241/22,"100 TON Spółka z ograniczoną odpowiedzialnością",00-019,Warszawa,"ul. Złota 7/18","WOJ. MAZOWIECKIE",2023-09-09
242/22,"PRIMA SERWIS SZCZECIN  Spółka z ograniczoną odpowiedzialnością   Spółka Komandytowa",70-846,Szczecin,"ul. Kniewska 2 k ","WOJ. ZACHODNIOPOMORSKIE",2023-09-30
243/22,"Patrona Zabatani - Spółka z ograniczoną odpowiedzialnością",42-504,Będzin,"ul. Dąbrowska 207","WOJ. ŚLĄSKIE",2023-10-01
244/22,"PMP  Wino Serwis  Spółka z ograniczoną odpowiedzialnością",47-303,Krapkowice,"ul. Kilińskiego    1","WOJ. OPOLSKIE",2023-09-30
245/22,"LE BARBATELLE Spółka z ograniczoną odpowiedzialnoscią",00-837,Warszawa,"ul. Pańska 98/101","WOJ. MAZOWIECKIE",2023-10-01
246/22,"ARMSPIRIT Spółka z ograniczoną odpowiedzialnością",53-622,Wrocław,"ul. Zachodnia  50/22","WOJ. DOLNOŚLĄSKIE",2023-10-02
247/22,"ML SPIRITS  Spółka z ograniczoną odpowiedzialnością",40-074,Katowice,"ul. Marcina Szeligiewicza 2/3","WOJ. ŚLĄSKIE",2023-09-13
248/22,"""ICE-FULL DYSTRYBUCJA""    Spółka z ograniczoną odpowiedzialnością",97-200,"Tomaszów Mazowiecki","ul. Główna 71 ","WOJ. ŁÓDZKIE",2023-09-30
249/22,"Alkohole Kraftowe Spółka z ograniczoną odpowiedzialnością",08-200," Łosice","ul. Leśna 10A","WOJ. MAZOWIECKIE",2023-10-02
250/22,"""DINO POLSKA""  Spółka Akcyjna",63-700,Krotoszyn,"ul. Ostrowska 122 ","WOJ. WIELKOPOLSKIE",2023-11-01
251/22,"Monard Dorota Rutkowska",73-108,Kobylanka,"ul. Osiedle Zalesie 76","WOJ. ZACHODNIOPOMORSKIE",2023-10-03
252/22,"Przedsiębiorstwo Usługowo - Handlowe  ""CHEMIROL""   Spółka z ograniczoną odpowiedzialnością",88-300,Mogilno,"ul. Przemysłowa 3 ","WOJ. KUJAWSKO-POMORSKIE",2023-10-31
253/22,"DMS BARRELS Spółka z ograniczoną odpowiedzialnością",15-501,Białystok,"ul. Baranowicka 117","WOJ. PODLASKIE",2023-10-07
254/22,"Przedsiębiorstwo Wielobranżowe ""REGO""  Włodzimierz  Stefaniak",62-510,Konin,"ul. Ślesińska  23 B ","WOJ. WIELKOPOLSKIE",2023-09-30
255/22,"HALIMAR Spółka z ograniczoną odpowiedzialnością",87-800,Włocławek,"ul. Barska 14","WOJ. KUJAWSKO-POMORSKIE",2023-10-31
256/22,"BZK ALCO Spółka Akcyjna",01-303,Warszawa,"ul. Połczyńska 97 A","WOJ. MAZOWIECKIE",2023-10-31
257/22,"TUDOR  HOUSE  Ltd.   Spółka z ograniczoną odpowiedzialnością",02-856,Warszawa,"ul. Ludwinowska  1/37 ","WOJ. MAZOWIECKIE",2023-10-14
258/22,"Winnice Jaworek Spółka z ograniczoną odpowiedzialnością",55-330,Miękinia,"ul. Kościuszki 48A","WOJ. DOLNOŚLĄSKIE",2023-10-14
259/22,"DAILYFRUITS Spółka Cywilna Bartosz Krudysz, Jacek Kwiecień",02-495,Warszawa,"ul. Posag 7 Panien 1A","WOJ. MAZOWIECKIE",2023-09-30
260/22,"Gospodarstwo Rolne ""Winnica Kudla""  Tomasz Kudla",62-080,"Tarnowo Podgórne, Jankowice","ul. Ogrodowa 12","WOJ. WIELKOPOLSKIE",2023-09-30
261/22,"GO2 WORK Spółka  z ograniczoną odpowiedzialnością",50-062,"Wrocław ","Pl. Solny 14/3","WOJ. DOLNOŚLĄSKIE",2023-09-30
262/22,"ALKOSWIAT Spółka z ograniczoną odpowiedzialnością",43-300,Bielsko-Biała,"ul. Wincentego Witosa 170","WOJ. ŚLĄSKIE",2023-09-30
263/22,"Przedsiębiorstwo Handlowo-Usługowe JANIAK Spółka Jawna",62-800,Kalisz,"ul. Piwonicka 1 C","WOJ. WIELKOPOLSKIE",2023-10-14
264/22,"Przedsiębiorstwo Produkcyjno-Handlowe   ""ZDRÓJ""   Eugeniusz Owczarczyk",08-450,Łaskarzew,"Stary Pilczyn 30 ","WOJ. MAZOWIECKIE",2023-10-11
265/22,"Europejski Alians Spirytusowy Spółka z ograniczoną odpowiedzialnością",30-390,Kraków,"ul. Zawiła 61","WOJ. MAŁOPOLSKIE",2023-10-04
266/22,"Hurtownia ""KIM"" Kazimierz Krzemiński, Marek Krzemiński, Andrzej Chrząszcz  Spólka Jawna",28-100,Busko-Zdrój,"ul. Bohaterów Warszawy 106","WOJ. ŚWIĘTOKRZYSKIE",2023-09-26
267/22,"P.P.U.H.  ""WARMET""  Spółka z ograniczoną odpowiedzialnością",07-130,Łochów,"Al. Łochowska 4 ","WOJ. MAZOWIECKIE",2023-10-16
268/22,"SILESIA DISTILLERY Spółka z ograniczoną odpowiedzialnością",41-403,"Chełm Śląski","ul. Ludowa 6","WOJ. ŚLĄSKIE",2023-10-14
269/22,"ALCO-TRADE Spółka z ograniczoną odpowiedzialnością",62-230,Witkowo,"Kołaczkowo 9 ","WOJ. WIELKOPOLSKIE",2023-10-31
270/22,"EKORIV Spółka z ograniczoną odpowiedzialnością",35-314,Rzeszów,"ul. Miła 29E/lok.8","WOJ. PODKARPACKIE",2023-10-02
271/22,"ACTIVE HOTEL SERVICE Spółka z ograniczoną odpowiedzialnością",51-422,Wrocław,"ul. Czajcza 19","WOJ. DOLNOŚLĄSKIE",2023-09-30
272/22,"MOJA GRUZJA Spółka z ograniczoną odpowiedzialnością",80-460,Gdańsk,"ul. Pilotów 3/lok. 6","WOJ. POMORSKIE",2023-10-07
273/22,"MAG DYSTRYBUCJA  Spółka z ograniczoną odpowiedzialnością Spółka komandytowa",10-467,Olsztyn,"ul.Sprzętowa 2 ","WOJ. WARMIŃSKO-MAZURSKIE",2023-10-03
274/22,"CANNABOTANIQUE Spółka z ograniczoną odpowiedzialnością",01-211,Warszawa,"ul. Giełdowa 4E/59","WOJ. MAZOWIECKIE",2023-10-15
275/22,"PINOT   Spółka z ograniczoną odpowiedzialnością    Spółka komandytowa",90-106,Łódź,"ul. Traugutta 5 ","WOJ. ŁÓDZKIE",2023-10-24
276/22,"ŻABKA POLSKA Spółka z ograniczoną odpowiedzialnością",61-586,Poznań,"ul. Stanisława Matyi 8","WOJ. WIELKOPOLSKIE",2023-10-22
277/22,"SLAVIC SPIRITS  Spółka z ograniczoną odpowiedzialnością",94-011,Łódź,"ul. Wileńska  44A/28","WOJ. ŁÓDZKIE",2023-10-19
278/22,"MARUSZEWSCY Spółka z ograniczoną odpowiedzialnoscią",61-707,Poznań,"ul. Karola Libelta 27","WOJ. WIELKOPOLSKIE",2023-10-14
279/22,"PPHU ""MORITZ"" Marek Różycki",43-190,Mikołów,"ul. Rybnicka 43","WOJ. ŚLĄSKIE",2023-12-31
280/22,"IQO INWESTYCJE Spółka z ograniczoną odpowiedzialnością",21-003,Dys,"ul. Dolina Ciemięgi 9","WOJ. LUBELSKIE",2023-10-31
281/22,"APREZ Spółka z ograniczoną odpowiedzialnoscią",02-973,Warszawa,"ul. Adama Branickiego 11/54","WOJ. MAZOWIECKIE",2023-10-14
282/22,"Przedsiębiorstwo Handlowo-Usługowe ""KORTALS"" Dariusz  Kortals",84-120,Władysławowo,"ul. Gdańska 10","WOJ. POMORSKIE",2023-11-08
283/22,"FUNDACJA BONI MORES",64-316,Kuślin,"Dąbrowa 44","WOJ. WIELKOPOLSKIE",2023-10-31
284/22,"Mikrogorzelnia Spółka z ograniczoną odpowiedzialnością",04-987,Warszawa,"Wał Miedzeszyński 131B","WOJ. MAZOWIECKIE",2023-11-30
285/22,"""ALMES""  Spółka z ograniczoną odpowiedzialnością",00-043,Warszawa,"ul. Tadeusza Czackiego 3/5/126","WOJ. MAZOWIECKIE",2023-10-31
286/22,"TOP WINA ŚWIATA Spółka z ograniczoną odpowiedzialnością Spółka Komandytowa",78-100,Kołobrzeg,"ul. Grzybowska 25F","WOJ. ZACHODNIOPOMORSKIE",2023-10-20
287/22,"Hurtownia ""MIRAX"" Hurt Detal Mirosław Hernik",26-660,Jedlińsk,"Bierwiecka Wola 40 A","WOJ. MAZOWIECKIE",2023-10-16
288/22,"PREMIUM Spółka Cywilna Dariusz Kostko, Karol Wojciechowski",15-776,Białystok,"ul. Konstytucji 3 Maja 24/9","WOJ. PODLASKIE",2023-10-30
289/22,"MONOLITH POLSKA Spółka z ograniczoną odpowiedzialnością",60-312,Poznań,"ul. Grunwaldzka 67","WOJ. WIELKOPOLSKIE",2023-10-31
290/22,"""STOKROTKA""  Spółka z ograniczoną odpowiedzialnością",20-209,Lublin,"ul. Projektowa 1 ","WOJ. LUBELSKIE",2023-11-14
291/22,"DĘBOWA POLSKA Spółka z ograniczoną odpowiedzialnością Spółka Komandytowa",64-212,Siedlec,"ul. Wolsztyńska 56 ","WOJ. WIELKOPOLSKIE",2023-12-31
292/22,"""SCAWAR""    Spółka z ograniczoną odpowiedzialnością",02-231,Warszawa,"ul. Jutrzenki  137 ","WOJ. MAZOWIECKIE",2023-11-01
293/22,"TOTAL-HANDEL  Spółka z ograniczoną odpowiedzialnością",83-200,"Starogard Gdański","ul. Droga Owidzka 1 ","WOJ. POMORSKIE",2023-11-14
294/22,"Ocean King Polska Spółka z ograniczoną odpowiedzialnością",42-208,Częstochowa,"ul. Bugajska 37","WOJ. ŚLĄSKIE",2023-10-18
295/22,"OL PIW PAWEŁ OLSZEWSKI SPÓŁKA JAWNA",26-050,ZAGNAŃSK,"KIELECKA 3/18","WOJ. ŚWIĘTOKRZYSKIE",2023-11-21
296/22,"Przedsiębiorstwo Handlowo-Usługowe   ""DYSTRYBUCJA""  Spółka z ograniczoną odpowiedzialnością",00-144,Warszawa,"Al. Solidarności 84 ","WOJ. MAZOWIECKIE",2023-10-20
297/22,"Jan Potocki ""Tasman Doradztwo Gospodarcze""",00-067,Warszawa,"ul. Romualda Traugutta 3/38","WOJ. MAZOWIECKIE",2023-10-23
298/22,"PRIME BRANDS  Spółka z ograniczoną odpowiedzialnością",70-784,Szczecin,"ul. Andrzeja Struga 61 ","WOJ. ZACHODNIOPOMORSKIE",2023-11-02
299/22,"Przedsiębiorstwo Handlowo - Usługowe   ""MARCO""   Spółka z ograniczoną odpowiedzialnością",04-443,Warszawa,"ul. Ignacego Paderewskiego 108 A ","WOJ. MAZOWIECKIE",2023-12-05
300/22,"Polskie Likiery Wanda Bojarska",42-271,Częstochowa,"ul. Wilgowa 67","WOJ. ŚLĄSKIE",2023-11-30
301/22,"PHUP GNIEZNO SZESZYCKI  Spółka Komandytowa",62-200,Gniezno,"ul. Orcholska 41 ","WOJ. WIELKOPOLSKIE",2023-11-14
302/22,"Centrum Owoców i Warzyw   ""AWOKADO""   Mariola Borek",06-100,Pułtusk,"ul. Adama Mickiewicza 37c ","WOJ. MAZOWIECKIE",2023-10-31
303/22,"Pomerania Dystrybucja A.Piątek Spółka Jawna",75-241,Koszalin,"ul. Grunwaldzka 1A","WOJ. ZACHODNIOPOMORSKIE",2023-11-01
304/22,"Przedsiębiorstwo Handlowo-Usługowe  GIG  ANDRZEJ GRZYWA",32-061,"Przegina Duchowna","ul. Strażaków 5","WOJ. MAŁOPOLSKIE",2023-11-14
305/22,"Jakob Haberfeld Story Spółka z ograniczoną odpowiedzialnością",32-600,Oświęcim,"ul. Dąbrowskiego 30","WOJ. MAŁOPOLSKIE",2023-11-07
306/22,"Cargo Export Spółka z ograniczoną odpowiedzialnością",80-557,Gdańsk,"ul. Marynarki Polskiej 75","WOJ. POMORSKIE",2023-11-06
307/22,"FRISCO Spółka Akcyjna",03-840,Warszawa,"ul. Grochowska 306/308","WOJ. MAZOWIECKIE",2023-11-30
308/22,"NORTH COAST  Spółka Akcyjna",02-486,Warszawa,"Aleje Jerozolimskie 180","WOJ. MAZOWIECKIE",2023-11-24
309/22,"POLMOS BIELSKO-BIAŁA   SPÓŁKA AKCYJNA",43-316,Bielsko-Biała,"ul. Karpacka 11 ","WOJ. ŚLĄSKIE",2023-11-20
310/22,"MATEUS  Spółka z ograniczoną odpowiedzialnością",05-091,Ząbki,"ul. Kazimierza Przerwy -Tetmajera 3 ","WOJ. MAZOWIECKIE",2023-12-04
311/22,"Whisky Embassy Spółka z ograniczoną odpowiedzialnością",61-131,Poznań,"ul. Katowicka 79A/101","WOJ. WIELKOPOLSKIE",2023-11-01
312/22,"KAMRON GROUP Spółka z ograniczoną odpowiedzialnością",25-650,Kielce,"ul. Skrajna 86B","WOJ. ŚWIĘTOKRZYSKIE",2023-11-05
313/22,"Wokawit Dystrybucja  Ewa i Waldemar Woźniak  Spółka Jawna",64-810,Kaczory,"ul. Jasna 3 ","WOJ. WIELKOPOLSKIE",2023-11-24
314/22,"KK POLSKA Spółka z ograniczoną odpowiedzialnością",84-230,Rumia,"ul. Działkowców 15/lok. DOK 50-51","WOJ. POMORSKIE",2023-11-30
315/22,"ORLEN  Spółka Akcyjna",09-411,"Płock-Biała, Płock","ul. Chemików 7","WOJ. MAZOWIECKIE",2023-12-02
316/22,"JERONIMO MARTINS POLSKA  Spółka Akcyjna",62-025,Kostrzyn,"ul. Żniwna 5 ","WOJ. WIELKOPOLSKIE",2023-11-14
317/22,"MAGA Martyna Gąsiorowska",34-500,Zakopane,"ul. Podhalańska 42","WOJ. MAŁOPOLSKIE",2023-11-30
318/22,"WASABI POLAND Spóła z ograniczoną odpowiedzialnością",26-630,Jedlnia-Letnisko,"ul. Słoneczna 5B","WOJ. MAZOWIECKIE",2023-11-14
319/22,"Kujawianka Inter Spółka z ograniczoną odpowiedzialnością",85-758,Bydgoszcz,"ul. Przemysłowa 22","WOJ. KUJAWSKO-POMORSKIE",2023-11-13
320/22,"BRICK HOUSE Spółka z ograniczoną odpowiedzialnością",66-004,"Zielona Góra","ul. Racula-Głogowska 85","WOJ. LUBUSKIE",2023-11-30
321/22,"LUBAWY Spółka z ograniczoną odpowiedzialnością",32-590,Libiąż,"ul. Leśna 73","WOJ. MAŁOPOLSKIE",2023-11-14
322/22,"LOGIMP  Spółka z ograniczoną odpowiedzialnością",97-200,"Tomaszów Mazowiecki","ul. Główna 71 ","WOJ. ŁÓDZKIE",2023-12-31
323/22,"PASIEKA JAROS Spółka z ograniczoną odpowiedzialnością",97-200,"Tomaszów Mazowiecki","Łazisko 46","WOJ. ŁÓDZKIE",2023-12-09
324/22,"Przedsiębiorstwo Przemysłu Spirytusowego  ""POLMOS"" w Warszawie  Spółka Akcyjna",00-006,Warszawa,"ul. Szkolna   2/4 ","WOJ. MAZOWIECKIE",2023-12-31
325/22,"DIAGEO  POLSKA   Spółka  z  ograniczoną odpowiedzialnością",01-208,Warszawa,"ul. Przyokopowa 31 ","WOJ. MAZOWIECKIE",2023-12-31
326/22,"Piotr Szladerba CONSULTING",30-009,Kraków,"ul. Józefa Fredleina 30/1","WOJ. MAŁOPOLSKIE",2023-12-01
327/22,"""ALMA-ALPINEX""   Spółka z ograniczoną odpowiedzialnością",26-065,Piekoszów,"ul. Czarnowska 54F","WOJ. ŚWIĘTOKRZYSKIE",2023-12-09
328/22,"NALEWKIKRESOWE.PL  Stanisław Smarduch",49-200,Grodków,"ul. Wrocławska 63 ","WOJ. OPOLSKIE",2023-12-19
329/22,"Handel Detaliczny i Hurtowy, Import-Export  Krzysztof Lerch",64-400,Międzychód,"ul. Romana Ratajczaka 4","WOJ. WIELKOPOLSKIE",2023-12-14
330/22,"PRZEDSIĘBIORSTWO HANDLOWE   ""GALICJA"" MTM Ścianek  Spółka Jawna",33-300,"Nowy Sącz","UL. Zawiszy Czarnego 35 ","WOJ. MAŁOPOLSKIE",2023-12-08
331/22,"""BROWN - FORMAN  POLSKA  SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ""",02-676,Warszawa,"ul. Postępu 21 D ","WOJ. MAZOWIECKIE",2023-12-31
332/22,"Hurtownia Artykułów Spożywczych i Przemysłowych   Warszawska Wytwórnia Wódek   Koneser  Jarosław Nowociel",05-660,Warka,"Grzegorzewice   17 ","WOJ. MAZOWIECKIE",2023-12-31
333/22,"Dom Handlowy EDEN II Kaczyńscy  Spółka Jawna",18-300,Zambrów,"ul. Magazynowa  8 ","WOJ. PODLASKIE",2023-12-31
334/22,"TANO DYSTRYBUCJA   SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",05-270,Marki,"ul. Okółna 45A","WOJ. MAZOWIECKIE",2023-11-23
335/22,"SŁAWOMIR OPIŁA  TOAST",27-200,Starachowice,"ul. inż. Władysława Rogowskiego 7 ","WOJ. ŚWIĘTOKRZYSKIE",2024-01-03
336/22,"BAR MANAGEMENT CO Spółka z ograniczoną odpowiedzialnością",00-841,Warszawa,"ul. Żelazna 51/53","WOJ. MAZOWIECKIE",2023-11-20
337/22,"Bieszczadzkie Smaki Spółka z ograniczoną odpowiedzialnością",38-543,Komańcza,"Wola Michowa 7","WOJ. PODKARPACKIE",2023-11-22
338/22,"Firma Handlowo-Usługowa ""MARO"" Robert Klimek",89-400,"Sępólno Krajeńskie","ul. Zakładowa 1","WOJ. KUJAWSKO-POMORSKIE",2023-12-13
339/22,"ROSIEK & ROSIEK Spółka Komandytowa  Krzysztof i Przemysław Rosiek",56-500,Syców,"ul. Kaliska   7 ","WOJ. DOLNOŚLĄSKIE",2023-12-31
340/22,"PRZEDSIĘBIORSTWO WIELOBRANŻOWE    ""BETA""   Spółka z ograniczoną odpowiedzialnością",98-220,"Zduńska Wola","ul. Opiesińska 30 A ","WOJ. ŁÓDZKIE",2024-01-03
341/22,"Piwne Mosty Spółka z ograniczoną odpowiedzialnością",53-411,Wrocław,"ul. Krucza 68/9","WOJ. DOLNOŚLĄSKIE",2023-12-20
342/22,"Coca-Cola HBC Polska Spółka z ograniczoną odpowiedzialnością",02-092,Warszawa,"ul. Żwirki i Wigury 16","WOJ. MAZOWIECKIE",2023-12-26
343/22,"""BAKOMA""  Spółka z ograniczoną odpowiedzialnością",01-303,Warszawa,"ul. Połczyńska 97 A ","WOJ. MAZOWIECKIE",2023-12-31
344/22,"FRANT Spółka z ograniczoną odpowiedzialnością",00-672,Warszawa,"ul. Piękna 43/30","WOJ. MAZOWIECKIE",2023-11-22
345/22,"ARHELAN  Spółka z ograniczoną odpowiedzialnością (dawniej: ARHELAN Helena Burzyńska Spółka komandytowa)",17-100,"Bielsk Podlaski","Aleja Józefa Piłsudskiego 45","WOJ. PODLASKIE",2024-01-14
346/22,"Gorzelnia Rolnicza - Andrzej Paszota",76-220,Główczyce,"Podole Wielkie 22","WOJ. POMORSKIE",2023-11-30
347/22,"""AMBRA""   SPÓŁKA AKCYJNA",02-819,Warszawa,"ul. Puławska 336 ","WOJ. MAZOWIECKIE",2024-01-03
348/22,"Team Spirit Whisky Spółka z ograniczoną odpowiedzialnościa",01-625,Warszawa,"ul. Adama Mickiewicza 37/lok. 58","WOJ. MAZOWIECKIE",2023-12-09
349/22,"KTW IMPORT AND DISTRIBUTION Spółka z ograniczoną odpowiedzialnością",02-285,Warszawa,"ul. Szyszkowa 35/37/Bud.A lok. A-1-011B","WOJ. MAZOWIECKIE",2023-11-25
350/22,"Przedsiębiorstwo Handlowo-Produkcyjno-Usługowe  ""WAGROMARKET""   Spółka z ograniczoną odpowiedzialnością",62-800,KALISZ,"NIEDŹWIADY 42 ","WOJ. WIELKOPOLSKIE",2023-12-31
351/22,"Przedsiębiorstwo Wielobranżowe MAX  Piotr Pajdosz",39-432,Gorzyce,"Motycze Poduchowne 95","WOJ. PODKARPACKIE",2023-12-09
352/22,""" JOTMAR""    Spółka z ograniczoną odpowiedzialnością",64-510,Wronki,"ul. Mickiewicza  26 ","WOJ. WIELKOPOLSKIE",2024-01-03
353/22,"Podlaska Wytwórnia Wódek   ""POLMOS""   Spółka Akcyjna",00-483,Warszawa,"ul. Frascati 12 ","WOJ. MAZOWIECKIE",2024-01-06
354/22,"MARCO 2 Spółka Cywilna Marek Paska, Zdzisław Stachacz, Bartłomiej Paska",02-220,Warszawa,"ul. Łopuszańska 36","WOJ. MAZOWIECKIE",2024-01-01
355/22,"TREND SPIRITS Spółka z ograniczoną odpowiedzialnością",26-600,Radom,"ul. Marii Fołtyn 11","WOJ. MAZOWIECKIE",2023-12-31
356/22,"Firma Wielobranżowa   ""SUŻYW""  Spółka z ograniczoną odpowiedzialnością",34-200,"Sucha  Beskidzka","ul. Nad Skawą   4 ","WOJ. MAŁOPOLSKIE",2023-12-17
357/22,"JONSTON DISTILLERY Spółka z ograniczoną odpowiedzialnością",64-100,Leszno,"ul. Geodetów 1","WOJ. WIELKOPOLSKIE",2023-12-04
358/22,"Firma Handlowo-Usługowa ""PAIMAR""  Mariusz Drużba",07-130,Łochów,"ul. Waryńskiego 19","WOJ. MAZOWIECKIE",2023-12-31
359/22,"MV GROUP DISTRIBUTION PL Spółka z ograniczoną odpowiedzialnością",03-236,Warszawa,"ul. Annopol 22","WOJ. MAZOWIECKIE",2023-12-31
360/22,"FIRMA MICHAŁOWSKI  Spółka z ograniczoną odpowiedzialnością  Spółka komandytowa",62-045,Pniewy,"ul. Lwówecka 15 ","WOJ. WIELKOPOLSKIE",2023-12-31
361/22,"HENKELL FREIXENET POLSKA Spółka z ograniczoną odpowiedzialnością",87-100,Toruń,"ul. Mazowiecka  48","WOJ. KUJAWSKO-POMORSKIE",2023-12-31
362/22,"SAJON GROUP Spółka z ograniczoną odpowiedzialnością",55-114,"Wisznia Mała, Kryniczno","ul. Polna 8","WOJ. DOLNOŚLĄSKIE",2023-11-30
363/22,"NIBORK Spółka z ograniczoną odpowiedzialnością",00-034,Warszawa,"ul. Warecka 11","WOJ. MAZOWIECKIE",2023-12-05
364/22,"Dariusz Frączek PR CONSULTANTS",54-142,Wrocław,"ul. Dokerska 48","WOJ. DOLNOŚLĄSKIE",2023-11-30
365/22,"""VITA""   Spółka z ograniczoną odpowiedzialnością",38-400,Krosno,"ul. Bieszczadzka 54 ","WOJ. PODKARPACKIE",2023-12-31
366/22,"CEDC INTERNATIONAL  Spółka z ograniczoną odpowiedzialnością",64-600,Oborniki,"ul. Kowanowska 48 ","WOJ. WIELKOPOLSKIE",2023-12-31
367/22,"Premium Distillers  Spółka z ograniczoną odpowiedzialnością",00-728,Warszawa,"ul. Józefa Piusa Dziekońskiego 3","WOJ. MAZOWIECKIE",2023-12-31
368/22,"Makro Cash and Carry Polska  Spółka Akcyjna",02-183,Warszawa,"Al. Krakowska  61 ","WOJ. MAZOWIECKIE",2023-12-31
369/22,"MALKO  Spółka z ograniczoną odpowiedzialnością",01-699,Warszawa,"ul. Parandowskiego 17 ","WOJ. MAZOWIECKIE",2023-12-31
370/22,"Arkadia Dystrybucja Stanisławczyk Nowakowski Spółka komandytowa",93-569,Łódź,"ul. Inżynierska 1/3","WOJ. ŁÓDZKIE",2024-01-01
371/22,"WYBOROWA  Spółka  Akcyjna",61-070,Poznań,"ul. Janikowska 23 ","WOJ. WIELKOPOLSKIE",2023-12-31
372/22,"NAVIGATOR Spółka z ograniczoną odpowiedzialnością Spółka Komandytowa",03-310,Warszawa,"ul. Staniewicka 5","WOJ. MAZOWIECKIE",2023-12-31
373/22,"ARTEX-HURT Spółka z ograniczoną odpowiedzialnością",06-500,Mława,"ul. Napoleońska 100 ","WOJ. MAZOWIECKIE",2024-01-03
374/22,"Hemar Dystrybucja Paweł Antczak",62-650,Kłodawa,"ul. Łęczycka 11A","WOJ. WIELKOPOLSKIE",2024-01-01
375/22,"BOSS   Spółka z ograniczoną odpowiedzialnością",11-600,Węgorzewo,"ul. Przemysłowa 7 A ","WOJ. WARMIŃSKO-MAZURSKIE",2023-12-31
376/22,"Piotr Wojtala",05-660,Warska,"ul. Grójecka 129","WOJ. MAZOWIECKIE",2023-12-15
377/22,"REDOX Spółka z ograniczoną odpowiedzialnością (dawniej Firma ""Redox"" Ola, Ryszard Pietrzak Spółka Jawna)",34-745,Spytkowice,"Spytkowice  427A ","WOJ. MAŁOPOLSKIE",2024-01-03
378/22,"GIFT  Spółka z ograniczoną odpowiedzialnością",33-113,"Zbylitowska Góra","ul. Krakowska 1","WOJ. MAŁOPOLSKIE",2024-01-01
379/22,"HWS POLSKA   Spółka z ograniczoną odpowiedzialnością",00-406,Warszawa,"ul. Ludna 2 ","WOJ. MAZOWIECKIE",2024-01-03
380/22,"GIN DOM GIOVANNI COSTA",40-384,Katowice,"ul. ks. bpa Herberta Bednorza 2a-6","WOJ. ŚLĄSKIE",2023-12-31
381/22,"""VITA IDEA""  Spółka z ograniczoną odpowiedzialnością",93-348,Łódź,"ul. Demokratyczna 115/235D","WOJ. ŁÓDZKIE",2023-12-31
382/22,"FLESCH POLSKA Spółka z ograniczoną odpowiedzialnością",05-830,"Nadarzyn, Rusiec","ul. Główna 56","WOJ. MAZOWIECKIE",2023-12-31
